1월 8일,1월 12일,2월 27일,2월 28일,3월 4일,3월 19일,3월 20일,5월 3일,5월 15일,5월 20일,7월 15일,8월 2일,8월 8일,11월 6일,11월 11일
알코올 중독에 빠지기 쉬운 사람들의 공통점,"與, '황운하·노웅래 출마 적격'에 ""문제 인물에 면죄부""","올해 6월 유럽의회 선거…정부·전문가, EU 정책변화 대응 모색","무탄소연합 ""올해부터 해외 기업에도 문호 연다""","복지부 ""3개월 면허정지 받으면 전문의 취득 1년이상 늦어질 것""","""소원이 이루어지는 길""…마포구 합정역앞에 '하늘길 소원광장'",서대문구 '일상돌봄서비스' 지원 대상 중장년까지 확대,"[현장연결] 황우여 국민의힘 비대위원장 ""야당과 협치하겠다""",,명인·명창 등용문' 제50회 전주대사습놀이 본선 내달 3일 개최,[부고] 전창수(한화 건설부문 인사지원실장)씨 부친상,"美법무부, 엔비디아 反독점법 위반 혐의 조사 착수","""트럼프때 경제바닥""·""해리스, 국경 망쳐""…美대선 경합주 격돌(종합)","정부, 내년 AI 예산 1조8천억원 투입…""3대 강국 도약""","코스피, 장중 하락해 2,530대…코스닥 낙폭 키워"
"수원시, 1인 가구 위한 정보포털 개설…사업 정보 등 제공","""서울 서대문 천연동 기온 43도까지 올라""…기후변화 지도 나와","""창의적 인재 발굴""…현대모비스 '모빌리티 SW 해커톤'","[게시판] 국표원, 무역기술장벽 대응 협의회 개최",[인사] 코스콤,원주의료기기테크노밸리 'KIMES 2024' 136억원 계약추진 성과,"[뉴스포커스] 이종섭, 조사기일 지정 촉구…이재명 불출석에 재판 파행","카카오맵, 보행약자 위한 '무장애 나눔길' 제공…지도앱 최초",,[옥천소식] 대청호에 새끼 뱀장어 1만6천마리 방류,공공의료기관 디지털 전환 맡을 6개 컨소시엄 선정,"작년 주일미군 오스프리 수송기 추락 원인은 ""기어박스 결함""","신한은행 ""고객 감정 AI로 분석…보이스피싱 등 대응""","[게시판] 행안부, 요양병원 겨울철 화재 대비 현장 점검",野 '김여사 특검법' 수정안 내기로…수사대상 축소·제삼자 추천(종합)
"전남교육청, 교육발전특구 공모사업 대응 착수","신호위반·과속질주로 새벽기도 3명 숨지게 한 80대 ""혐의 인정""","[게시판] 산업부, '디지털 통상 전문인력 양성사업' 확대","산업부, '전력고속도로 기술혁신' 산학연 거버넌스 만든다","공천탈락' 민주당 이석형 예비후보, 무소속 출마","창원 단감나무 100년 역사, 과학적으로도 입증…""브랜드 육성""",후보자 랩 배틀부터 드론쇼까지…첨단기술 결합한 KBS 개표 방송,"코스피, 장중 오름폭 줄어 2,680대…코스닥 약보합 전환",,[그래픽] 서울시 외국인정책 5개년 마스터플랜,"우리금융, 스타트업서 협업 제안받아 수익원 발굴",옥천 포도 베트남 수출…10월까지 50t 예정,"공정위, '라이더 출금 지연' 만나코퍼레이션 현장조사",행성 탐사용 '로버' 핵심부품 국산화 '시동'…민관 230억원 투자,"김태규 ""불법촬영물 피해방지 등 내년 예산 2천485억 편성"""
[날씨톡톡] 겨울은 추워야 제맛? 낮에도 찬바람…내일 전국 눈비,[뉴스포커스] '빅텐트' 본격화…여 '갤럭시 신화' 영입 추진,"삼성전자, 업계 최초로 12단 쌓은 HBM3E 개발 성공…상반기 양산","""삼성 녹스 더 안전해졌다""…2024년형 삼성 TV, 보안성 인증",행정구역 두 곳으로 나뉜 강릉아이스아레나,"새미래, 인천 부평을 홍영표·경기 부천을 설훈 공천","제주도관광협 ""환경보전분담금 도입 반대…관광 타격""",페어 포함' 여자 U-17 축구대표팀 아시안컵 출전…6일 남북대결,,"美, 이더리움 ETF 승인 시한 임박…""거부할 듯"" 전망 확산","마포구 '누구나 가게' 인증…""무장애 상권 넓힌다""","與 ""최재영·서울의소리 탄핵공작, 사실이면 심각 범죄""","헥토이노베이션, 2분기 역대 최대 매출","한경협, 성래은 영원무역그룹 부회장과 세 번째 '갓생한끼'","울산시, 내년 본예산안 5조원 처음 넘어…""시민체감 정책중점"""
빈 필하모닉 단원 13명이 새해 선물로 들려준 경쾌한 왈츠,"[현장연결] 민주당 탈당 의원 3인방, 미래대연합 제안…""모든 세력 힘 모아야""","양식업 어업인, 5천만원까지 소득세 감면…'세제 지원 강화'","산업부, '민관 공급망 협의회' 월 2회 정례 개최","中대응에 '우크라 함대공격 전술' 활용?…대만, 자폭무인정 양산","경기교육청, 하루 20분 교내 '틈새 독서' 권장","엔씨 박병무 공동대표 내정자 ""국내외 기업 M&A 검토""","與, 채상병특검법 강행에 ""수사 가로채기…거부권은 헌법 권리""",,마을 유일한 의사 '공보의' 없는 부산 철마면…주민 불편 두달째,"CJ대한통운, 지속가능경영보고서 발간…해외사업장 지표도 담아","尹대통령, 경사노위 위원장 권기섭·산업1차관 박성택 내정","SK바이오팜, 美 뇌전증 치료제 고성장에 2분기 흑자 전환(종합)",디지털화폐로 교육·복지 바우처 줄 수 있나…실증 테스트,한때 10만원 바라봤는데…5만원 '늪'에 빠진 삼성전자
"천문연, 13일 '달에서 화성까지' 우주탐사 대중 강연 진행","미영 후티반군 공격에…러, 안보리 긴급회의 요청",용인 등 7개 첨단전략특화단지 전력 적기 공급 나선다,연안화물선 유가연동보조금 지원기간 4월말까지 연장,"이낙연 ""더이상 좌고우면 안하고 직진…임종석과 연락은 할 것""",교도소 수감 중 여친에게 협박 편지 보낸 30대 벌금형,"충북도, 28일부터 청년문화예술패스 발급…15만원 지원","셸·ING·메트라이프·애플 등 글로벌 기업, 자사주 매입 잇따라",,"CBRE코리아, 마곡 '원그로브' 리테일 임대자문사 선정",네팔 새 총리에 '친중' 성향 올리 전 총리…행정수반만 4번째,알고 보면 귀하다…신간 '곤충은 남의 밥상을 넘보지 않는다',"전남 해수욕장 이용객 소폭 줄어…""긴 장마·폭염 탓""",[뉴스특보] '해리스 vs 트럼프' 운명의 날…예상 승률 56대43 접전,"소녀상 모욕' 미국 유튜버, 편의점 업무방해 혐의 검찰 송치"
[영상] 미 국방 '깜깜이 입원' 논란…사흘간 바이든도 부장관도 몰랐다,"한동훈·홍익표 통도사 방문…여야, 총선 준비 '잰걸음'","검역본부, 3월 한 달간 수입 묘목 특별검역","농식품부 ""귀농·귀촌 10가구 중 7가구가 '만족'""",다시 몰려온 '차이나쇼크'…물가하락 효과 더 커져,"與 수도권 후보들, 연일 '이종섭 귀국·황상무 사퇴' 촉구",공사장서 10ｍ 높이 크레인 넘어져…지나가던 화물차 날벼락,"에코프로 ""2분기까지 실적 부진할 것…수익성 방어에 집중""",,"구의역 김군' 8주기…""안전 위협하는 '위험의 외주화' 여전""","공금횡령 의혹 등 발생에…청주시, 전 부서 특별감찰","김상훈, 韓제안 '제삼자특검법'에 ""수사완결 후 다시 상황판단""",세종시 월2만원 대중교통 카드 발급 시작…최민호 시장 1호 신청,"이탈리아·인니 대통령, 이번주 중국 국빈 방문…""유대 강화""","[게시판] KG모빌리티, 경기 평택 부락산서 쓰레기 줍기 봉사활동"
"특허청, 수요자 맞춤형 온라인 영업비밀 교육프로그램 운영",농협중앙회장 선거에 후보자 8명 등록…25일 선거,"중기중앙회, 정기총회 개최…3개 우수조합에 장관 표창",부가가치세 환급 농기자재 품목 확대…스마트팜 센서도 추가,"尹대통령, 의료계 집단행동에 ""자유에는 책임 따른다""","[게시판] H2코리아, 수소경제 활성화 유공자 포상 신청 접수","[일문일답] 젠슨 황 ""나는 AI시대 오펜하이머 아냐…AI 환각, 해결가능""",교도소 동료 수감자 강제추행·폭행 3명 징역·벌금형,,"오산시, 세외수입 체납액 일제 정리…전체 22% 징수 목표",대구·경북 6월 무역흑자 18억8천만 달러…작년 대비 25.3%↑,"아동 유괴 中영화 실제 주인공, 대학생 됐다…축하·격려 쇄도",폭염 속 부산 해운대해수욕장 도로 살수시스템 1주일 넘게 먹통,[그래픽] 한국계 최초 미국 상원의원 앤디김,"전북도, 태풍 간접 피해 복구계획 확정…재난지원금 연내 지급"
[영상] 미 국방 '깜깜이 입원' 논란…사흘간 바이든도 부장관도 몰랐다,"현대차, 고성능 전기차 아이오닉5 N 콘셉트 모델 공개","중소기업 1천250억원 원전 수출보증 신설…""설비수출로 다각화""",대구·광주 등 49개 광역·기초지자체 교육발전특구 시범 지정,"日정부 ""출산율 등 안오르면 2060년까지 GDP 성장률 0.2% 그쳐""","민주 ""151석이 최대 희망 목표…1당 확보 힘겨운 '반집 싸움'""","기술보증·카카오뱅크, 디지털 금융지원 협약","[게시판] 법무부, 한국산업인력공단과 국가시험 지원 협약",,필승조에서 사라진 '옆구리 투수'들…정통파에 밀려 퇴조 기미,"강원교육청, 늘봄학교 확대 시행 앞두고 전담사 588명 채용 추진","북, 우리측 수해물자 지원 제의 후에도 연락채널 무응답","유상임 과기정통장관 후보 ""R&D 혁신·과학기술인 헌신 홍보""","목포시, 화장장 화장로 1기 추가 증설…신안군민도 우선예약","[게시판] 아파트아이, 카카오뱅크에서도 관리비 납부 서비스 제공"
경기북부 올해 고속도로 2개 구간·철도 2개 노선 개통 예정,"제천시의회, 외국인 계절근로자 지원 조례안 입법 예고","국토부, '지하도로 안전성 강화 세미나' 개최","늘봄학교·명문고 키우고, 대학서 많이 뽑고…'지역인재' 청사진","서울시, 청년구직자-기업 매칭 추진…1천300명 취업 목표","인니 ""KF-21 분담금 완납 8년 연기""…韓 ""예정대로 2026년까지""","창원시, 진해군항제 때 '개방화장실' 운영…관광객 불편 없도록","""박사 고용률 높지만 학위 걸맞은 일자리 부족""",,"HD현대중공업, 3D 프린팅 부품 제작 신기술 인증받아","[뉴스포커스] ""증오의 언행 줄이자""…미 대선 판세 요동",美日 정책전환기 증시 '널뛰기'…美공포지수 3개월만에 최고(종합),"테러범' 등장…중동 확전 위기에도 미 ""휴전 가까워""","환율, 美 대선 주시하며 상승폭 확대…1,390원 근접",다채로운 공연과 체험…강릉 단단단페스티벌 19∼23일 개최
한표의 소중함'…4년마다 투표하러 귀국하는 대만 재외 국민들,"[CES 2024] 롯데정보·칼리버스, 음악 페스티벌 투모로우랜드와 파트너십","농식품부, 농촌보금자리 사업지구로 정선·인제 등 8곳 선정",아태지역 우수성적 앱 대상 'APAC 어워즈'에 한국 앱 6종 선정,외래관광객 2천만명 목표' 서울관광사업설명회 5일 개최,"[게시판] 해수부, 어선청년임대사업 참가자 모집…임차료 지원","엔비디아 ""칩 신제품 하반기 출시""…데이터센터 장비도 자신감",층간소음 불만에 애먼 이웃집 괴롭힌 20대 벌금형,,"쿠팡, 한국외대 통번역대학원과 산학협력…""통번역 인재확보""",하동 음식의 재발견…'별의별 맛 축제' 10월 4일 개막,"인권위 ""중경비시설 수용자도 편지는 개봉 않고 보낼수 있어야""",지난달 부산·울산·경남 열대야 9.6일…역대 2위,"국립한글박물관, 내년 예산 143억원…""한국과 세계 잇도록 노력""",전남도 내년도 예산안 12조5천436억원 편성…올해보다 2.4% 증액
"포항공대, 학생들 CES 참관 정례화…올해는 21학번 차례","미국, 우크라 제공 10억 달러 규모 무기 행방추적 실패","국토부, 투자선도지구·지역수요맞춤지원 사업 공모","[게시판] KT&G 상상마당 부산, 꽃 1천 송이 장식 캐스퍼 전시",홍제동참사 순직 소방관 기려 '소방영웅길' 명예도로 지정,2월 자동차 수출 51억달러…작년보다 7.8% 감소,저산소 상태' 활용한 뇌 혈류 측정 새 방법 제시,"이재명, 당선자들에 ""개인적 이유로 당론 반대는 옳지 않다""(종합)",,"부산항만공사, 해운·항만 창업플랫폼 입주기업 모집",김포 모 고교서 학생 38명 식중독 의심 증상…역학조사,[알림] 연합뉴스 콘텐츠 저작권 고지,충남 휴가지서 무신고 영업 등 불법행위 8건 적발,"흑백요리사' 최현석·윤남노, 배스킨라빈스 레시피 대결 펼쳐","與원외당협위원장, 지도부에 '지구당 부활' 공식 요청"
"옥천군, 소규모 건설사업 243건 추진…합동설계반 운영","봉준호 ""경찰 이선균 수사 적법했나 밝혀야""…진상규명 촉구","삼성전자, 주방전시회 'KBIS'서 미국시장 겨냥 가전 선보여",파묘' 개봉 7일째 300만 관객 돌파…올 최고 흥행작,"폐원 위기 어린이집, '서울형 모아어린이집' 첫 선정",소형 신축주택 추가 구입시 취득세 최대 4천200만원 절감된다,"코웨이, 시카고 가정용품 박람회 참가…""에어메가 라인업 선봬""","전주시 ""재활용 처리시설 가스폭발 피해자들 최대한 지원""",,"파월, 로스쿨 졸업 축사서 ""자신을 넘어서는 생각을 하라""","성남시, 수돗물 새 이름 공모…내달 16일까지",폭염 속 실종된 치매 증상 노인 엿새 만에 산 중턱서 발견,"전북대 교수, 제자 3명 성추행 혐의…피해 학생 1명은 자퇴","[美대선] 연방당국 ""펜실베이니아 선거사기 증거 없다"" 확인","여야의정협의체 출범…""12월까지 성과 목표"""
"[영상] 김여정 ""한국군, 폭약에 속아 넘어가""…공개한 영상 보니","[CES 2024] 민간단체가 뽑은 '최악 제품'은…""보안 우려, 과소비 조장""",농식품 우수벤처에 식물용 접착제 개발 '링크플릭스',"경찰 ""배현진 습격범, 언론 관심받으려 우발적 범행"" 결론","[현장연결] 복지부 ""3개월 면허정지 처분시 전문의 자격취득 1년 늦춰져""","부산대병원 교수들 ""시설도 교수도 태부족""…사직 결의(종합)",증원 배분 오늘 발표하는데…의대생 절반 가까이 '유효 휴학',원주 간현관광지 가정의달 맞아 3∼6일 풍성한 이벤트 펼쳐,,"프로농구 LG, '돌격대장' 이재도와 3년 더 동행","한동훈, 1차투표 과반승 목표…나경원·원희룡은 '결선 단일화'",[속보] 경사노위 위원장 권기섭·산업부 1차관 박성택 내정,日대기업 여름 보너스 평균 890만원…역대 두 번째로 많아,대장암 90% 예방하는 단 한 가지 방법,"[광주소식] 조선대병원 주정연 교수, 소아소화기영양학회 학술상"
"종로구, 구민 생활안전보험 지원…개물림 사고도 보장",전주 한 마트 화재 4시간 만에 진화…수족관서 발화한 듯(종합),"LG전자, 美 최대 주방 전시회서 하이엔드 빌트인 존재감 과시","동화약품 ""감기약 '판콜에스', 작년 감기약 시장 1위""","늘봄학교 오늘부터 전국 2천700개교서…""인력부족·지역격차 커""",축산물 가격 작년 수준…할인 등 195억원 정부 지원,"인천 내항 화물 물량 북항 이전 추진…노조 ""실직위기"" 반발","경남도, 진해만에 어린 개조개·왕우럭조개 21만마리 방류",,"늘어나는 청소년 온라인 도박…""놀이로 접근했다 수천만원 날려""","IBS, 바이러스·행성과학 분야 국제 학술대회 개최","검은 금요일' 코스피 3% 넘게 급락 2,700선 무너져…2개월만(종합)",경남서 폭염 속 비닐하우스·논에서 일하던 70·80대 숨져,"[게시판] 제이엘케이, 뇌 MR 관류영상 분석 설루션 美 FDA 시판 전 승인","요기요, 상생협의체와 단독 합의…""자체 상생안 마련"""
반유대 논란'에 화들짝…홍보 전문가 찾는 미 명문대들,"尹 대선특보 출신 김용남, 국민의힘 탈당·개혁신당 입당","자녀와 따로 산 다자녀가구, 작년에 산 승용차 개소세 돌려받아","교육발전특구 시범지역 광역6개·기초43개…대통령실 ""전폭지원""(종합)","안전성평가연 ""과불화화합물 종류에 따라 뇌에 다른 영향 미쳐""","[게시판] 국표원, 수소·연료전지 국제표준화 기업간담회…추진현황 공유",영암왕인문화축제 '조선통신사 재현' 부산과 협업,휴전 계산기' 두드리는 네타냐후 vs 신와르…협상 운명 달렸다,,"라이칭더 대만총통 취임…""현상유지·양안 공동번영 입장 표명""","與, 野상설특검 야당몫 확대 움직임에 ""나치식 일당 독재""",美 침체 우려' 亞주가지수 급락…日닛케이 5% 하락 중,조선 왕실이 즐기던 궁중 다과…내달 4일부터 '경복궁 생과방',"서울구청장協, 위례신사선 예타로 지연 우려…""기재부 결단해야""",오늘부터 전세사기 피해주택 경매차익 지원…LH 매입대상도 확대
"5·18 폄훼' 인천시의장 국힘 탈당…NGO ""의장직 사퇴하라""","한국 등 10개국 성명 ""홍해서 주저없이 생명·무역보호 조치""(종합)",미국 국채시장서 '충격흡수 역할' 역레포 잔고 감소세,"보먼 연준 이사 ""지금 금리인하는 너무 이르다""","창원시, 지방세 성실납세자에 감사패…기업 2곳·개인 3명",조달청 '드론' 조달 방식 개선…국내 기업 글로벌 성장 이끈다,프로농구 시상식 4월 1일 개최…MVP·신인상 등 시상,[뉴스포커스] '채상병 특검법' 강행에 거부권 수순…정국 또 급랭,,"與, '채상병 특검법'에 ""찬성 불가…수사 뒤 도입 결정해야""","LH, 평택 고덕신도시서 '패키지형 공모사업' 첫 추진",숭례문 지하보도서 60대 여성 피살…70대 남성 긴급체포(종합),노동자 사망' 강원 중대재해법 위반 첫 기소 건설사 대표 집유,올겨울 날씨 예측하러 4개국 모였다…동아시아 기후포럼 개최,유연한 페로브스카이트 태양전지 100㎠급 제작 성공
"""가자지구서 매일 어린이 10명씩 다리 절단…마취도 없이 수술""",[영상] 파푸아뉴기니서 대규모 소요사태…국가비상사태 선포,"하나은행, 파운트투자자문과 협력…퇴직연금 로보어드바이저",점잖던 바이든이 달라졌다…공격형 전환으로 정면돌파 시도,"말레이 항공기 실종 10주년…교통장관 ""수색 작업 계속""","통상차관보, 리투아니아 외교차관과 면담…경제협력 확대 논의","검찰, '딸 특혜채용 청탁 혐의' 前선관위 사무차장 소환",12년 전 울산 신정동 다방 여주인 살인사건 범인에 징역 25년,,"양구군, 지역 대학생 244명에게 등록금 5억여원 지급",하늘·땅이 '교실' 되는 역사교육…어린이박물관학교 70년 여정,"野, 과방위서 '방송장악청문회 9일 개최' 단독의결…與 반발",9천명 투자금 150억원 가로챈 스캠코인 '퀸비' 업자 구속,동진쎄미켐 3분기 영업이익 619억원…작년 동기 대비 44.5%↑,"""안전거리 충분히 확보해야""…고령운전자 안전 운전법"
"[영상] 김여정 ""한국군, 폭약에 속아 넘어가""…공개한 영상 보니",[신간] 옛 건물의 보존 배경과 맥락…'도시는 왜 역사를 보존하는가',인천항에 인공지능 검색기 도입…위험물품 반입 차단,"SK매직, 초소형 직수 정수기 출시…""기존제품보다 40% 작아졌다""",전북 익산 구도심 닭요리 거리 '치킨로드' 사업자 모집,오는 6월 디지털 경제교육 플랫폼 구축…전문 기관 참여,[안산소식] 지역화폐 사용 유효기간 '5년'으로 연장,힐링소설? 사회이론서?…황금연휴 볼 만한 신작,,"野 7당, 용산 집결해 ""채상병 특검법 수용하라"" 尹 압박","농식품부, 16∼31일 전략작물직불제 지원 대상 추가 모집","옥천전통문화체험관, 숙박료 50% 지역화폐 페이백",부산 기장군 '복지누락 제로 사업'으로 사각지대 해소,집 근처서 대출·반납 'U-도서관'…성동구 신금호역에 운영,"광주·전남 보행 사망자 11월에 가장 많아…""동절기 특히 조심"""
"""화훼농가 살려달라""…경남·부산 생산자들 수입꽃 해결책 요구","MLRS 탑재형 전술지대지유도무기 시험발사 성공…""수출 염두""","강원도, 개학 맞은 학교·유치원 식중독 예방 합동점검","켈로그 CEO ""가난한 사람들, 저녁은 시리얼로""…분노 촉발","한동훈 '천안'·이재명 '종로'…여야, 총선 지원사격 돌입",3월 전국 주택사업 경기전망 소폭 개선,"한동훈 ""수도권 민심에 더 민감하고 책임감 있게 반응해야""","[2보] 민주 새 원내대표에 박찬대…""일하며 싸우는 민주당""",,"與 ""김정숙, 단독외교 아닌 단독외유""…일각선 특검도 요구",서울 주택매매심리 2년9개월 만에 최고…경기·인천 '상승국면',"[올림픽] 미국 러데키, 통산 13번째 메달…여자 수영 선수 역대 1위",남서울대서 '2024 하계 RCY 전국캠프' 열려,"데브시스터즈, '쿠키런' 성장에 3분기 영업이익 흑자 전환(종합)","""잘못없다"" vs ""폭행도""…'티아라 왕따설' 재점화"
"법원 ""'바지 사장'에 부과된 소득세, 무효 아냐""(종합)",대전 도안지구 토지 수용 과정서 특혜성 편법 '논란',"비트코인, 거침없는 파죽지세…27개월만에 5만5천달러도 돌파(종합2보)","민주당 영입 '7호 인재' 전은수 변호사, 울산 남구갑 출마 선언","서울시, 웹툰 보조작가 표준계약서 개발…하반기 보급","정부 ""전기 수요 적은 봄, 모든 발전소 출력제어 참여""","앤트맨3' 악역배우 메이저스 또 피소…전 여친 ""학대 피해""","동국대, 파크골프 지도자 과정 개설…제1기생 모집",,아시아의 보석 한 자리에'…익산 보석박물관 3달간 기획전시,"해수부 ""장마 이후 수온 급상승…양식 피해 주의해야""","경찰, 복귀 전공의 '명단공개·부역자 낙인' 동료·의사 입건",내달 전기차 화재 종합대책 나온다…12일 관계부처 긴급회의,거창사건 일부 유족 국가 상대 배상 청구 소송…전국 확대 전망,"토스, 금융보안 위협 분석 대회 4년 연속 우승"
"2023수능 영어, 사설 모의고사 동일지문 논란…교육부 수사의뢰(종합)",[영상] 파푸아뉴기니서 대규모 소요사태…국가비상사태 선포,군산시 비상 진료체계 가동…의료원 등 응급실 24시간 운영,"전주시정연구원 ""지역 맞춤 정책연구 본격화""…융합형 과제 집중",1월 생산·소비 동반 상승…설비투자 '빨간불',"수확량 많고 다이어트 효과'…농진청, 찰수수 '고은찰' 개발",슈퍼리그 금지' 축구규제기관 탄생 현실화…영국 의회 상정,"큐로드 ""국내 게임업체 중국·러시아 진출 지원""",,"수출입은행, 여의도 한강공원에 무궁화 정원 조성",농업 분야 기후위기 대응에 민관 '맞손'…내일 첫 포럼,[프로필] 박성택 산업부 1차관…다재다능한 정통 관료,"조달청, 혁신제품 단가계약 도입…7개 제품·100개 규격 등록","[美대선] ""트럼프 일부 참모들 '조기 승리선언' 건의""",아이 키우기 좋은 아파트…서울시 '아이사랑홍' 8곳 첫 선정
"영암군, 외국인 이주민 등에 정착지원금 60만원씩 지급","험담 이유로 ""죽여버리겠다""며 흉기 든 50대 집행유예",울산교육청 '청백리 실천반' 구성…청렴도 향상 추진,"이준석 ""보조금 기부는 어폐…한동훈, 법률가 정체성 망각""","충주시, 탄소중립 그린도시 조성…암모니아 수소충전소 건립","안양시, 여성공무원도 야간 당직…'양성 통합당직' 도입","조규성이냐, 주민규냐…간판 골잡이 출신 황선홍의 선택은","강진군, 전국 최초 '전자 공공수매' 추진",,"수인성·식품매개감염병 막아라…서울시, 감염제로 조리 지침","[게시판] 농식품부, 인도네시아 축산박람회에 한국관 마련",[프로필] 권기섭 경사노위 위원장 내정자…노동차관 지낸 정통 관료,"[2보] 검찰, 'SM 시세조종' 카카오 김범수 구속기소",남도 전통주와 함께 즐기는 나주의 '빛 축제'…8일 개막,수능일 지하철 집중배차·비상수송·경적금지…서울시 교통대책
대구·경북경찰청 '경찰의 꽃' 총경 13명 배출…역대 최다,"충남교육청, 드론산업체 5곳과 손잡고 기술인재 양성","석가모니의 가르침과 일생 담은 순천 송광사 불화, 국보 된다","국민의힘 창원시의원, 사화·대상 행정사무조사 특위 연장 추진","도봉구청장의 '안전 한바퀴'…""구석구석 안전 직접 살핀다""","하이트진로, LA다저스 스폰서십 2026년까지 연장","중구문화재단, 300평 규모 갤러리 신당 개관…""새 예술 명소""","대한탁구협회, 경희생생한방병원과 의료복지 지원 업무협약",,"[게시판] 서울시, 생물종 다양성의 날 기념 생태체험 10개 첫선",캐스퍼 전기차 양산 돌입…올해 2만1천대 생산,해리스 인기·금리인하 신호에 '트럼프 트레이드' 힘 빠져,구리시민 67% 서울 편입 찬성…인프라 지원 기대,"충주시, 내년 1단계 공공근로 참여자 150명 선발",강남 세곡천 따라 흐르는 여유와 감성…수변활력거점 조성
"與, 野 권한쟁의 카드에 ""재의결 거부는 총선용 꼼수 증명""",中 12월 소비자물가 0.3%↓…'3개월 연속 하락'에 디플레 우려↑(종합),서방 보란듯 내부결속 다지는 푸틴…이번엔 특수작전부대 치하,"[2보] 바이든·트럼프, 미시간 경선 나란히 압승…대선 재대결 확실시",임종석 잔류에 한숨 돌린 민주…홍영표 등 탈당 '잔불' 남아,"대웅제약 ""당뇨병 신약 엔블로, 글로벌 제약사 약보다 효과 커""",캐나다 2월 소비자 물가 전년 대비 2.8% 상승…두달 연속 목표권,선샤인 밀양 테마파크' 개장 기념 페스티벌 4∼6일 개최,,노들섬 채우는 비트와 리듬…25∼26일 서울드럼페스티벌,반도체 경기 회복에 상반기 ICT 수출액 역대 2위,"방통위 사무처장 ""공영방송 이사 선임, 계획 따라 절차 진행""",성남시의료원장에 한호성 분당서울대병원 교수 선임,"배재대, 11일 대기업 등 참여 '직업계고 직무콘서트' 개최",매헌시민의숲에서 강원도를 만나다…'하늘숲 벤치정원' 조성
윤봉길 의사 배출한 예산 덕산초에 '독립유공자 학교' 현판,中 작년 12월 수출 2.3% 증가…연간 수출은 4.6% 감소,"[게시판] 산업단지공단, 10년간 3조원 투입해 노후산단 13곳 개조","이승엽야구장학재단, 불우 환아 위해 1천만원 기부","허영 후보 ""춘천에 2∼3만명 은퇴자 마을 조성"" 제시","정운천 ""국민의미래 비례 당선권 전북출신 0명…전국정당 포기""",독도 인근 해상서 외국인 선원 실종…해경 수색 나서,"""中 2022년 실제 국방예산은 발표치 3배 970조원…美와 맞먹어""",,이틀간 '쉬엄쉬엄 한강 3종 축제'…카약·워터파크 체험도,RCEP 제7차 공동위 라오스서 개최…사무국 설치 '속도',"삼성 출신 라이블리, MLB 10승 투수 됐다…미국서 승승장구","오토바이 몰던 80대, 진로 변경 중 8.5t 화물차와 부딪혀 숨져","진안군, 진안역사박물관 리모델링…내년 7월 재개관",[게시판] 서울연구원 역량 강화·기초연구 성과공유 정책포럼
日노토반도 강진 일주일 사망자 161명으로 늘어…연락두절 103명,"[날씨톡톡] 잿빛 하늘, 초미세먼지 기승…차츰 먼지 밀려나","의왕시, 어린이집서 '생태놀이·숲놀이' 프로그램 운영","""순직하게 생겼다"" 광주·전남 3차병원 잔류 의료진 비상","국방부 ""정찰위성 1호기 정상운용…이달 중순부터 운용시험평가""","두달 넘게 '톱10' 입상 없는 임성재, '박스권' 탈출 모색","이해찬 ""황상무 사퇴는 '꼬리자르기', 본질은 '도주대사'""","민주 원내사령탑 박찬대, '이재명의 입'으로 활약한 강성 친명",,9월부터 1천명 이상 모이는 서울시 행사 일회용품 전면금지,신세계푸드 등 스마트물류센터 4개소 신규 인증 획득,"검찰, '회계처리 위반' 신재생에너지업체 퀀타피아 압수수색","[방송소식] 카리나, 엠넷 '마이 아티 필름'서 누아르 연기","""코인사업 투자하라""…현직 형사에 전화했다 딱걸린 사기조직",권순형 도자기·앙드레김 드로잉…서울공예박물관 기증감사의 날
"이스라엘 대통령 ""가자주민 이주, 정부 공식 입장 아냐""",창원 죽곡마을 주민·선박부품업체 간 해묵은 갈등 올해도 지속,"하루 25t 명동 쓰레기 문제…서울 중구 ""확실하게 풀겠다""","대통령실 ""의협, 대표성 갖기 어려워…의료계 중지 모아달라""(종합)","청주시, 휴게실 설치 등 버스 종사자 근무환경 개선","감염 입원' 98세 마하티르 말레이 전 총리, 50여일만에 퇴원",강진 금곡사서 29∼31일 '벚꽃 삼십리길축제',"식약처, 의료제품 허가 부서 개편…상담 창구 일원화",,"서울시, 희망두배 청년통장·꿈나래 통장 1만여개 꿈 틔운다","산업부, 여름철 집중호우 대비…충청지역 광산 안전 현장점검","대만 정부, '中, 대만 침공 드라마' 제작비 과다 지원 논란","세번째 공간, 15일부터 BNK아트시네마서 미디어아트 신진작가전","미얀마 반군, '군부 수장 초청' 中 비판…""군정 인정 말아야""",손흥민 풀타임에 황인범은 골…유럽파에 웃는 홍명보호
